Tổng số lượng BC cảnh báo,"Logic: 
- %GTC của 7 ngày gần nhất
- HN và HCM lấy full hàng mới và hàng tồn
- Các tỉnh khác lấy hàng mới ca 1 + tồn

- Nếu HCM và HN < 50% => Cảnh báo
- Nếu các tỉnh khác < 45% => Cảnh báo
- Nếu %GTC < 70% Mốc %GTC tốt nhất trong lịch sử => Cảnh báo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,9/6/2026,,9/5/2026,,03/09/2026,,,,06/09/2026,,,,,,,,Thời gian cập nhật 07/09/2026 11:00:29,,,,,,,
Vùng,Tỉnh,ID Bưu cục,Tên Bưu cục,%GTC_TB 7 ngày (1),%GTC_tốt nhất (6 tháng gần nhất. Số tính theo tuần) (2),%Tỷ trọng (1)/(2),%GTC_N-1,VolGTC_N-1,%GTC_N-2,VolGTC_N-2,%GTC_N-3,VolGTC_N-3,Tỷ trọng vol cần giao / toàn quốc ngày N-1,VolGTC_TB 7 ngày,"Tổng Vol cần giao
(3) + (4)","Vol_Tồn
(3)","Vol_Mới
(4)",Cảnh báo,Số ngày nằm trong danh sách cảnh báo - 3 tháng gần nhất,Số ngày dự kiến clear hàng,Số lượng nhân sự có gán đơn giao N-1,Điều tiết hàng (Giới hạn hàng về bưu cục),Backlog tồn đọng,%Backlog tồn đọng đã gán,Backlog >5 ngày,%FD_N-1 (ALL KH),%OntimeSLA_N-1 (TTS),%OPR_N-1 (TTS),%VolGTC <24h_N-1 (TTS),Volume tạo mới_N-1 (ALL KH)
NTB,Đắk Nông,22394000,(DNO) Quảng Tín,15.25%,59.86%,25.47%,19.79%,21000.00%,15.93%,194,0.08,101,0,202,1061,748,313,Cảnh báo GTC < 45%,85,5,,,1100,37.09%,278,,52.31%,,44.62%,243
NTB,Đắk Nông,20269000,(DNO) Kiến Đức,19.36%,63.28%,30.59%,29.27%,29500.00%,23.19%,224,0.25,276,0,261,1008,608,400,Cảnh báo GTC < 45%,72,4,,,978,68.20%,193,,62.50%,23.81%,46.88%,296
NTB,Lâm Đồng,22389000,(LDO) Đức Trọng 1,24.99%,62.11%,40.23%,17.47%,17100.00%,19.28%,165,0.24,210,0,260,979,629,350,Cảnh báo GTC < 45%,63,4,,,1077,43.83%,158,,50.00%,96.77%,18.75%,270
NTB,Lâm Đồng,22051000,(LDO) Lang Biang - Đà Lạt 1,32.83%,63.95%,51.34%,26.84%,25900.00%,36.81%,371,0.29,268,0,326,965,551,414,Cảnh báo GTC < 45%,82,3,,,1210,79.75%,96,,51.52%,0.00%,45.45%,359
NTB,Lâm Đồng,21377000,(LDO) Đơn Dương,35.52%,65.83%,53.97%,49.95%,97600.00%,46.09%,1020,0.39,821,0,843,1954,1067,887,Cảnh báo GTC < 45%,47,2,,,2380,54.71%,229,,55.84%,33.33%,37.23%,749
NTB,Đắk Nông,20269003,(DNO) Nhân Cơ,39.38%,71.51%,55.07%,45.45%,14000.00%,41.13%,109,0.50,151,0,139,308,206,102,Cảnh báo GTC < 45%,25,2,,,412,67.23%,21,,89.19%,41.90%,56.76%,146
NTB,Đắk Nông,20590000,(DNO) Tuy Đức,39.78%,64.66%,61.52%,32.11%,21800.00%,30.58%,163,0.25,104,0,220,679,331,348,Cảnh báo GTC < 45%,13,3,,,822,68.49%,20,,65.79%,,36.84%,231
NTB,Đắk Nông,22048000,(DNO) Đông Gia Nghĩa,44.07%,55.07%,80.04%,40.66%,33500.00%,50.51%,344,0.40,260,0,296,824,271,553,Cảnh báo GTC < 45%,9,3,,,993,76.23%,13,,66.28%,49.45%,51.16%,341
